,network,image_idx,target_cls,delta,bounds,linna_time (seconds),linna_timeout,linna_is_real_cex,linna_result,linna_error
0,MNIST_3x100,0,5,0.02,"(12, 12)",7.5998699640000495,False,False,sat,False
1,MNIST_3x100,0,5,0.02,"(6, 6)",606.4325260139999,True,,timeout,False
2,MNIST_3x100,0,5,0.02,"(3, 3)",607.8820731789999,True,,timeout,False
3,MNIST_3x100,0,5,0.05,"(12, 12)",5.8525948750000225,False,False,sat,False
4,MNIST_3x100,0,5,0.05,"(6, 6)",8.3431691830001,False,False,sat,False
5,MNIST_3x100,0,5,0.05,"(3, 3)",609.1965393459998,True,,timeout,False
6,MNIST_3x100,1,0,0.02,"(12, 12)",606.5732092530002,True,,timeout,False
7,MNIST_3x100,1,0,0.02,"(6, 6)",608.383873623,True,,timeout,False
8,MNIST_3x100,1,0,0.02,"(3, 3)",7.955175623000287,False,,unsat,False
9,MNIST_3x100,1,0,0.05,"(12, 12)",606.4380730639996,True,,timeout,False
10,MNIST_3x100,1,0,0.05,"(6, 6)",6.788385025000025,False,False,sat,False
11,MNIST_3x100,1,0,0.05,"(3, 3)",606.8086335630005,True,,timeout,False
12,MNIST_3x100,2,4,0.02,"(12, 12)",606.3050120510006,True,,timeout,False
13,MNIST_3x100,2,4,0.02,"(6, 6)",606.3834487209997,True,,timeout,False
14,MNIST_3x100,2,4,0.02,"(3, 3)",606.9550486990001,True,,timeout,False
15,MNIST_3x100,2,4,0.05,"(12, 12)",5.7607236129997546,False,False,sat,False
16,MNIST_3x100,2,4,0.05,"(6, 6)",8.913053344999753,False,False,sat,False
17,MNIST_3x100,2,4,0.05,"(3, 3)",5.991672971000298,False,False,sat,False
18,MNIST_3x100,3,1,0.02,"(12, 12)",7.964826239000104,False,False,sat,False
19,MNIST_3x100,3,1,0.02,"(6, 6)",5.561195573000077,False,False,sat,False
20,MNIST_3x100,3,1,0.02,"(3, 3)",607.8249050730001,True,,timeout,False
21,MNIST_3x100,3,1,0.05,"(12, 12)",5.7878792690007685,False,False,sat,False
22,MNIST_3x100,3,1,0.05,"(6, 6)",7.089300865000041,False,False,sat,False
23,MNIST_3x100,3,1,0.05,"(3, 3)",5.592737437999858,False,False,sat,False
24,MNIST_3x100,4,9,0.02,"(12, 12)",6.039011337000375,False,False,sat,False
25,MNIST_3x100,4,9,0.02,"(6, 6)",607.8606358500001,True,,timeout,False
26,MNIST_3x100,4,9,0.02,"(3, 3)",606.7487763570007,True,,timeout,False
27,MNIST_3x100,4,9,0.05,"(12, 12)",606.2576965699991,True,,timeout,False
28,MNIST_3x100,4,9,0.05,"(6, 6)",6.814344689000791,False,False,sat,False
29,MNIST_3x100,4,9,0.05,"(3, 3)",8.2726355399991,False,False,sat,False
30,MNIST_3x100,5,2,0.02,"(12, 12)",7.663268297999821,False,False,sat,False
31,MNIST_3x100,5,2,0.02,"(6, 6)",6.731156817999363,False,False,sat,False
32,MNIST_3x100,5,2,0.02,"(3, 3)",607.0433931970001,True,,timeout,False
33,MNIST_3x100,5,2,0.05,"(12, 12)",6.084448951000013,False,False,sat,False
34,MNIST_3x100,5,2,0.05,"(6, 6)",6.9468965100004425,False,False,sat,False
35,MNIST_3x100,5,2,0.05,"(3, 3)",6.290970919999381,False,False,sat,False
36,MNIST_3x100,6,1,0.02,"(12, 12)",6.501935604999744,False,False,sat,False
37,MNIST_3x100,6,1,0.02,"(6, 6)",6.08147525700042,False,False,sat,False
38,MNIST_3x100,6,1,0.02,"(3, 3)",609.3749250299988,True,,timeout,False
39,MNIST_3x100,6,1,0.05,"(12, 12)",5.73466767500031,False,False,sat,False
40,MNIST_3x100,6,1,0.05,"(6, 6)",8.63887405100104,False,False,sat,False
41,MNIST_3x100,6,1,0.05,"(3, 3)",607.0578487540006,True,,timeout,False
42,MNIST_3x100,7,3,0.02,"(12, 12)",606.7163727550014,True,,timeout,False
43,MNIST_3x100,7,3,0.02,"(6, 6)",606.7613797969989,True,,timeout,False
44,MNIST_3x100,7,3,0.02,"(3, 3)",94.25468178800111,False,,unsat,False
45,MNIST_3x100,7,3,0.05,"(12, 12)",7.453367049000008,False,False,sat,False
46,MNIST_3x100,7,3,0.05,"(6, 6)",6.606624325999292,False,False,sat,False
47,MNIST_3x100,7,3,0.05,"(3, 3)",607.2347194579997,True,,timeout,False
48,MNIST_3x100,8,1,0.02,"(12, 12)",6.062808181999571,False,False,sat,False
49,MNIST_3x100,8,1,0.02,"(6, 6)",608.6872800820001,True,,timeout,False
50,MNIST_3x100,8,1,0.02,"(3, 3)",7.762393812001392,False,False,sat,False
51,MNIST_3x100,8,1,0.05,"(12, 12)",7.568339204999575,False,False,sat,False
52,MNIST_3x100,8,1,0.05,"(6, 6)",5.753489722999802,False,False,sat,False
53,MNIST_3x100,8,1,0.05,"(3, 3)",7.296186727000531,False,False,sat,False
54,MNIST_3x100,9,4,0.02,"(12, 12)",606.8722152339997,True,,timeout,False
55,MNIST_3x100,9,4,0.02,"(6, 6)",609.0299716219997,True,,timeout,False
56,MNIST_3x100,9,4,0.02,"(3, 3)",609.6956784560007,True,,timeout,False
57,MNIST_3x100,9,4,0.05,"(12, 12)",8.497777947000941,False,False,sat,False
58,MNIST_3x100,9,4,0.05,"(6, 6)",5.640174781001406,False,False,sat,False
59,MNIST_3x100,9,4,0.05,"(3, 3)",609.7468707240005,True,,timeout,False
