,network,image_idx,target_cls,delta,bounds,linna_time (seconds),linna_timeout,linna_is_real_cex,linna_cex,linna_result,linna_error
0,MNIST_3x100,0,5,0.02,"(3, 3)",5.0091329890000225,False,,,unsat,False
1,MNIST_3x100,0,5,0.02,"(0, 0)",4.670026629000006,False,,,unsat,False
2,MNIST_3x100,0,5,0.05,"(3, 3)",603.295786988,True,,,timeout,False
3,MNIST_3x100,0,5,0.05,"(0, 0)",603.89163932,True,,,timeout,False
4,MNIST_3x100,1,0,0.02,"(3, 3)",4.99733197400019,False,,,unsat,False
5,MNIST_3x100,1,0,0.02,"(0, 0)",5.03807459199993,False,,,unsat,False
6,MNIST_3x100,1,0,0.05,"(3, 3)",603.1909344789999,True,,,timeout,False
7,MNIST_3x100,1,0,0.05,"(0, 0)",603.2293232830002,True,,,timeout,False
8,MNIST_3x100,2,4,0.02,"(3, 3)",603.412985463,True,,,timeout,False
9,MNIST_3x100,2,4,0.02,"(0, 0)",603.858498645,True,,,timeout,False
10,MNIST_3x100,2,4,0.05,"(3, 3)",603.4532454110004,True,,,timeout,False
11,MNIST_3x100,2,4,0.05,"(0, 0)",603.9279218040001,True,,,timeout,False
12,MNIST_3x100,3,1,0.02,"(3, 3)",603.2272477070001,True,,,timeout,False
13,MNIST_3x100,3,1,0.02,"(0, 0)",238.44628583099984,False,,,unsat,False
14,MNIST_3x100,3,1,0.05,"(3, 3)",603.4288279640004,True,,,timeout,False
15,MNIST_3x100,3,1,0.05,"(0, 0)",604.1182241030001,True,,,timeout,False
16,MNIST_3x100,4,9,0.02,"(3, 3)",604.3882681189998,True,,,timeout,False
17,MNIST_3x100,4,9,0.02,"(0, 0)",603.2384484609993,True,,,timeout,False
