,reduction_rate,accuracy,duration
0,0.94,0.3321,2.3242610409999998
1,0.88,0.6647,3.3213947029998963
2,0.8200000000000001,0.8021,4.665248338999845
3,0.75,0.8724,5.910457501999872
4,0.69,0.9105,7.986437900000055
5,0.63,0.9226,9.006850872999848
6,0.5700000000000001,0.9331,10.681081402000018
7,0.5,0.9477,12.18405659500013
8,0.43999999999999995,0.9547,13.497742185000106
9,0.38,0.963,14.792622204000054
10,0.31999999999999995,0.9637,16.286417949999986
11,0.25,0.967,16.982683281000163
12,0.19499999999999995,0.9711,17.453932473000123
13,0.15333333333333332,0.9711,18.298347055000022
14,0.125,0.974,21.43549881099989
