,reduction_rate,accuracy,duration
0,0.06000000000000005,0.9765,1.6399999900022522
1,0.1233333333333333,0.9761,3.1350555249955505
2,0.18666666666666665,0.9736,4.411441194009967
3,0.25,0.9688,6.008306906995131
4,0.31000000000000005,0.9672,10.665600923006423
5,0.3733333333333333,0.9638,13.54164124597446
6,0.43666666666666665,0.9528,15.028065440012142
7,0.5,0.9355,15.836270803003572
8,0.56,0.9251,16.70238604300539
9,0.6233333333333333,0.7806,16.338300191011513
10,0.6866666666666666,0.6897,15.913865267008077
11,0.75,0.6039,15.953342216991587
12,0.81,0.4265,15.068262393993791
13,0.8733333333333333,0.2716,14.211683029017877
14,0.9366666666666666,0.194,11.306417379993945
