,reduction_rate,accuracy,duration
0,0.06166666666666665,0.9744,1.332255401997827
1,0.125,0.9743,1.420606579980813
2,0.18666666666666665,0.9748,1.555155885987915
3,0.25,0.9741,1.541191820986569
4,0.31166666666666665,0.973,1.4547994469758123
5,0.375,0.9703,1.6006682729930617
6,0.43666666666666665,0.9683,1.6313120580161922
7,0.5,0.9576,1.596434816980036
8,0.5616666666666666,0.9449,1.633634522993816
9,0.625,0.9408,1.641938298009336
10,0.6866666666666666,0.9023,1.620635664992733
11,0.75,0.8363,1.6117207930074073
12,0.8116666666666666,0.6885,1.4391160240047611
13,0.875,0.5546,1.5058239570062142
14,0.9366666666666666,0.1819,1.6044730830180924
