,reduction_rate,accuracy,duration
0,0.94,0.3008,2.704403776000163
1,0.88,0.6037,3.8669228430001112
2,0.8200000000000001,0.7827,5.4186138289999235
3,0.75,0.864,6.887735682999846
4,0.69,0.882,8.869330049999917
5,0.63,0.9053,9.782574656999941
6,0.5700000000000001,0.9233,11.866809633000003
7,0.5,0.943,12.975343873999918
8,0.43999999999999995,0.9509,14.021374895999998
9,0.38,0.9565,15.185104878999937
10,0.3214285714285714,0.9619,17.1084767939999
11,0.2628571428571429,0.9623,18.168420115000117
12,0.21857142857142853,0.9658,18.7677142360003
13,0.1785714285714286,0.9693,19.680136671999662
14,0.1528571428571428,0.9717,19.390082251999956
