,reduction_rate,accuracy,duration
0,0.14142857142857146,0.9715,2.8926124339923263
1,0.14428571428571424,0.9715,2.8524811470124405
2,0.1885714285714286,0.9717,15.598990036000032
3,0.25,0.9696,50.49878751600045
4,0.31285714285714283,0.9719,68.61913677302073
5,0.37571428571428567,0.971,85.08943764300784
6,0.4385714285714286,0.9702,117.60247794198222
7,0.5,0.9704,128.8613575049967
8,0.5628571428571428,0.9677,143.397738190979
9,0.6257142857142857,0.9674,148.5919872589875
10,0.6885714285714286,0.9549,172.91261086499435
11,0.75,0.955,171.75628566401429
12,0.8128571428571428,0.9193,174.11207663401728
13,0.8757142857142857,0.7246,165.71710717797396
14,0.9385714285714286,0.2103,182.38065284199547
