,reduction_rate,accuracy,duration
0,0.062000000000000055,0.9788,1.3866723449900746
1,0.125,0.9789,2.043225828994764
2,0.18700000000000006,0.979,2.5981303669977933
3,0.25,0.9795,2.957370009011356
4,0.31200000000000006,0.9784,3.280535780999344
5,0.375,0.9791,3.414251982991118
6,0.43700000000000006,0.9778,3.4644749329891056
7,0.5,0.9779,3.3208837830170523
8,0.562,0.9775,3.120008139987476
9,0.625,0.9757,3.0089285779977217
10,0.687,0.9753,2.6375041069986764
11,0.75,0.9727,2.2386928220221307
12,0.812,0.9692,1.865421670023352
13,0.875,0.9605,1.5922173040162306
14,0.937,0.9286,1.1023683020030148
