,reduction_rate,accuracy,duration
0,0.94,0.224,23.56621023799994
1,0.88,0.5089,29.160984633999988
2,0.8200000000000001,0.6284,33.86171356
3,0.75,0.8038,36.84111398699997
4,0.69,0.8121,37.604744228999834
5,0.63,0.8492,39.43489816300007
6,0.5700000000000001,0.8924,38.58076763899999
7,0.5,0.9199,37.75564774600002
8,0.43999999999999995,0.9388,36.14341829
9,0.38,0.9444,35.108586666000065
10,0.32285714285714284,0.9543,33.32770338399996
11,0.26142857142857145,0.9566,29.83637620500008
12,0.21999999999999997,0.965,28.761574238000094
13,0.18142857142857138,0.9692,29.950088784999934
14,0.14571428571428569,0.9715,23.40650265599993
