,reduction_rate,accuracy,duration
0,0.94,0.2409,21.177653905000057
1,0.88,0.6338,26.595896473999915
2,0.8200000000000001,0.6942,30.099664761999975
3,0.75,0.8267,32.515554109999925
4,0.69,0.8667,34.60584101299992
5,0.63,0.882,35.265532732999986
6,0.5700000000000001,0.9231,35.59997472800001
7,0.5,0.9223,36.87519744999997
8,0.43999999999999995,0.9393,35.13695615000006
9,0.38,0.9463,34.05777755399981
10,0.31999999999999995,0.9574,32.15949254899988
11,0.25,0.9662,29.012174261000155
12,0.19333333333333336,0.9691,25.871964130999913
13,0.15333333333333332,0.9701,22.50820682299991
14,0.1233333333333333,0.9737,19.49716768999997
