,reduction_rate,accuracy,duration
0,0.14714285714285713,0.9714,5.935982291994151
1,0.15000000000000002,0.968,6.216578366002068
2,0.1885714285714286,0.9694,28.857010924984934
3,0.25,0.9713,61.917049071984366
4,0.31285714285714283,0.9714,85.6448379830108
5,0.37571428571428567,0.9711,104.64832890999969
6,0.4385714285714286,0.9702,130.2854244390037
7,0.5,0.9684,151.08346660700045
8,0.5628571428571428,0.9683,169.57322249902063
9,0.6257142857142857,0.9636,175.32229810900753
10,0.6885714285714286,0.9624,193.81835025598411
11,0.75,0.9396,199.89284934700117
12,0.8128571428571428,0.8873,195.46674390000408
13,0.8757142857142857,0.5152,185.87534527201205
14,0.9385714285714286,0.1696,167.93254426697968
