,reduction_rate,accuracy,duration
0,0.94,0.1727,12.481710616999976
1,0.88,0.3573,15.396277656999985
2,0.8200000000000001,0.5702,16.88683417799996
3,0.75,0.7959,18.567063007
4,0.69,0.875,19.39423335600003
5,0.63,0.9046,20.905389575999948
6,0.5700000000000001,0.8955,24.269643399000074
7,0.5,0.9393,22.20208755500005
8,0.43999999999999995,0.9522,20.941754318999983
9,0.38,0.9526,18.593603548000033
10,0.31999999999999995,0.9626,18.40189778299998
11,0.25,0.9661,15.275603521999983
12,0.18999999999999995,0.9715,13.475157007999996
13,0.13,0.9743,12.354657808999946
14,0.06999999999999995,0.9762,10.855053817999988
