,reduction_rate,accuracy,duration
0,0.10166666666666668,0.9744,3.7284719810122624
1,0.125,0.9743,9.528498428000603
2,0.18833333333333335,0.9747,38.00754429897643
3,0.25,0.9741,59.608321067004
4,0.31333333333333335,0.9735,79.15252033801517
5,0.375,0.9727,98.67615934298374
6,0.43833333333333335,0.9709,110.90537678200053
7,0.5,0.9684,127.06207968198578
8,0.5633333333333334,0.9661,142.42637957198895
9,0.625,0.9616,143.52368861899595
10,0.6883333333333334,0.951,151.6831739389745
11,0.75,0.9246,156.56533031302388
12,0.8133333333333334,0.8776,156.41585047799163
13,0.875,0.6911,157.88736163900467
14,0.9383333333333334,0.1515,160.34465776299476
