,reduction_rate,accuracy,duration
0,0.062000000000000055,0.9789,59.439268057001755
1,0.125,0.9789,117.45002541400027
2,0.18700000000000006,0.9787,165.93673659599153
3,0.25,0.9787,205.76941807899857
4,0.31200000000000006,0.9795,229.37522633798653
5,0.375,0.9787,251.42742128600366
6,0.43700000000000006,0.9787,231.84028530900832
7,0.5,0.9781,214.51003572600894
8,0.562,0.977,209.91351922799367
9,0.625,0.9748,205.11993545200676
10,0.687,0.9735,179.12252350401832
11,0.75,0.9711,155.7460251179873
12,0.812,0.9676,125.11891948300763
13,0.875,0.9497,101.5257665719837
14,0.937,0.8888,68.42889552400447
